INFO: [2021-02-05 23:03:40] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "","HGNCID"
WARNING: [2021-02-05 23:04:54] genewalk.gene_lists - Could not get HGNC name for ID "115",NA
WARNING: [2021-02-05 23:04:54] genewalk.gene_lists - Could not get HGNC name for ID "116",NA
WARNING: [2021-02-05 23:04:55] genewalk.gene_lists - Could not get HGNC name for ID "117",NA
WARNING: [2021-02-05 23:04:55] genewalk.gene_lists - Could not get HGNC name for ID "118",6096
WARNING: [2021-02-05 23:04:56] genewalk.gene_lists - Could not get HGNC name for ID "119",19941
WARNING: [2021-02-05 23:04:57] genewalk.gene_lists - Could not get HGNC name for ID "120",NA
WARNING: [2021-02-05 23:04:57] genewalk.gene_lists - Could not get HGNC name for ID "121",17017
WARNING: [2021-02-05 23:04:58] genewalk.gene_lists - Could not get HGNC name for ID "122",NA
WARNING: [2021-02-05 23:04:59] genewalk.gene_lists - Could not get HGNC name for ID "123",2537
WARNING: [2021-02-05 23:04:59] genewalk.gene_lists - Could not get HGNC name for ID "124",2545
WARNING: [2021-02-05 23:05:00] genewalk.gene_lists - Could not get HGNC name for ID "125",2528
WARNING: [2021-02-05 23:05:00] genewalk.gene_lists - Could not get HGNC name for ID "126",2538
WARNING: [2021-02-05 23:05:01] genewalk.gene_lists - Could not get HGNC name for ID "127",2536
WARNING: [2021-02-05 23:05:02] genewalk.gene_lists - Could not get HGNC name for ID "128",4658
WARNING: [2021-02-05 23:05:03] genewalk.gene_lists - Could not get HGNC name for ID "129",25097
WARNING: [2021-02-05 23:05:03] genewalk.gene_lists - Could not get HGNC name for ID "130",NA
WARNING: [2021-02-05 23:05:04] genewalk.gene_lists - Could not get HGNC name for ID "131",NA
WARNING: [2021-02-05 23:05:04] genewalk.gene_lists - Could not get HGNC name for ID "132",NA
WARNING: [2021-02-05 23:05:05] genewalk.gene_lists - Could not get HGNC name for ID "133",12530
WARNING: [2021-02-05 23:05:06] genewalk.gene_lists - Could not get HGNC name for ID "134",12553
WARNING: [2021-02-05 23:05:06] genewalk.gene_lists - Could not get HGNC name for ID "135",12555
WARNING: [2021-02-05 23:05:07] genewalk.gene_lists - Could not get HGNC name for ID "136",12546
WARNING: [2021-02-05 23:05:08] genewalk.gene_lists - Could not get HGNC name for ID "137",13479
WARNING: [2021-02-05 23:05:08] genewalk.gene_lists - Could not get HGNC name for ID "138",12535
WARNING: [2021-02-05 23:05:09] genewalk.gene_lists - Could not get HGNC name for ID "139",12547
WARNING: [2021-02-05 23:05:09] genewalk.gene_lists - Could not get HGNC name for ID "140",12545
WARNING: [2021-02-05 23:05:10] genewalk.gene_lists - Could not get HGNC name for ID "141",28528
WARNING: [2021-02-05 23:05:11] genewalk.gene_lists - Could not get HGNC name for ID "142",12554
WARNING: [2021-02-05 23:05:11] genewalk.gene_lists - Could not get HGNC name for ID "143",12544
WARNING: [2021-02-05 23:05:12] genewalk.gene_lists - Could not get HGNC name for ID "144",NA
WARNING: [2021-02-05 23:05:12] genewalk.gene_lists - Could not get HGNC name for ID "145",7207
WARNING: [2021-02-05 23:05:13] genewalk.gene_lists - Could not get HGNC name for ID "146",16873
WARNING: [2021-02-05 23:05:14] genewalk.gene_lists - Could not get HGNC name for ID "147",692
WARNING: [2021-02-05 23:05:14] genewalk.gene_lists - Could not get HGNC name for ID "148",14050
WARNING: [2021-02-05 23:05:15] genewalk.gene_lists - Could not get HGNC name for ID "149",NA
WARNING: [2021-02-05 23:05:16] genewalk.gene_lists - Could not get HGNC name for ID "150",2522
WARNING: [2021-02-05 23:05:16] genewalk.gene_lists - Could not get HGNC name for ID "151",10252
WARNING: [2021-02-05 23:05:17] genewalk.gene_lists - Could not get HGNC name for ID "152",2524
WARNING: [2021-02-05 23:05:18] genewalk.gene_lists - Could not get HGNC name for ID "153",9491
WARNING: [2021-02-05 23:05:18] genewalk.gene_lists - Could not get HGNC name for ID "154",14368
WARNING: [2021-02-05 23:05:19] genewalk.gene_lists - Could not get HGNC name for ID "155",14134
WARNING: [2021-02-05 23:05:19] genewalk.gene_lists - Could not get HGNC name for ID "156",30405
WARNING: [2021-02-05 23:05:20] genewalk.gene_lists - Could not get HGNC name for ID "157",14118
WARNING: [2021-02-05 23:05:21] genewalk.gene_lists - Could not get HGNC name for ID "158",15475
WARNING: [2021-02-05 23:05:21] genewalk.gene_lists - Could not get HGNC name for ID "159",30715
WARNING: [2021-02-05 23:05:22] genewalk.gene_lists - Could not get HGNC name for ID "160",12019
WARNING: [2021-02-05 23:05:23] genewalk.gene_lists - Could not get HGNC name for ID "161",9485
WARNING: [2021-02-05 23:05:23] genewalk.gene_lists - Could not get HGNC name for ID "162",24635
WARNING: [2021-02-05 23:05:24] genewalk.gene_lists - Could not get HGNC name for ID "163",6368
WARNING: [2021-02-05 23:05:24] genewalk.gene_lists - Could not get HGNC name for ID "164",9451
WARNING: [2021-02-05 23:05:25] genewalk.gene_lists - Could not get HGNC name for ID "165",1247
INFO: [2021-02-06 01:26:03] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
INFO: [2021-02-06 01:26:03] genewalk.cli - Saving into /Users/yizhouyu/genewalk/Abeta_protUp/genes.pkl...
INFO: [2021-02-06 01:26:07] genewalk.nx_mg_assembler - Adding gene edges from Pathway Commons to graph.
INFO: [2021-02-06 01:26:19] genewalk.nx_mg_assembler - Number of PC originating nodes 116
INFO: [2021-02-06 01:26:20] genewalk.nx_mg_assembler - Adding GO annotations for genes in graph.
INFO: [2021-02-06 01:26:22] genewalk.nx_mg_assembler - Adding GO ontology edges to graph.
INFO: [2021-02-06 01:26:22] genewalk.cli - Saving into /Users/yizhouyu/genewalk/Abeta_protUp/multi_graph.pkl...
INFO: [2021-02-06 01:26:22] genewalk.cli - 1/3
INFO: [2021-02-06 01:26:22] genewalk.deepwalk - Running random walks...
INFO: [2021-02-06 01:26:26] genewalk.deepwalk - Walks for 100/44205 nodes complete in 3.19s
INFO: [2021-02-06 01:26:30] genewalk.deepwalk - Walks for 200/44205 nodes complete in 7.52s
INFO: [2021-02-06 01:26:32] genewalk.deepwalk - Walks for 300/44205 nodes complete in 9.29s
INFO: [2021-02-06 01:26:35] genewalk.deepwalk - Walks for 400/44205 nodes complete in 12.36s
INFO: [2021-02-06 01:26:36] genewalk.deepwalk - Walks for 500/44205 nodes complete in 13.99s
INFO: [2021-02-06 01:26:38] genewalk.deepwalk - Walks for 600/44205 nodes complete in 15.43s
INFO: [2021-02-06 01:26:41] genewalk.deepwalk - Walks for 700/44205 nodes complete in 18.42s
INFO: [2021-02-06 01:26:45] genewalk.deepwalk - Walks for 800/44205 nodes complete in 22.17s
INFO: [2021-02-06 01:26:51] genewalk.deepwalk - Walks for 900/44205 nodes complete in 28.38s
INFO: [2021-02-06 01:26:57] genewalk.deepwalk - Walks for 1000/44205 nodes complete in 34.71s
INFO: [2021-02-06 01:26:59] genewalk.deepwalk - Walks for 1100/44205 nodes complete in 36.96s
INFO: [2021-02-06 01:27:01] genewalk.deepwalk - Walks for 1200/44205 nodes complete in 38.13s
INFO: [2021-02-06 01:27:02] genewalk.deepwalk - Walks for 1300/44205 nodes complete in 39.07s
INFO: [2021-02-06 01:27:03] genewalk.deepwalk - Walks for 1400/44205 nodes complete in 40.82s
INFO: [2021-02-06 01:27:05] genewalk.deepwalk - Walks for 1500/44205 nodes complete in 42.44s
INFO: [2021-02-06 01:27:07] genewalk.deepwalk - Walks for 1600/44205 nodes complete in 44.17s
INFO: [2021-02-06 01:27:08] genewalk.deepwalk - Walks for 1700/44205 nodes complete in 45.04s
INFO: [2021-02-06 01:27:09] genewalk.deepwalk - Walks for 1800/44205 nodes complete in 46.79s
